epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,509.79,0.75739,1.38252,1.36748,0.41267,0.47646,0.44239,0.30889,1.31227,1.99643,1.67616,0.00060759,0.00060759,0.00060759
43,523.115,0.78883,1.3838,1.36933,0.4142,0.49012,0.40956,0.29852,1.23485,1.96659,1.60293,0.000602092,0.000602092,0.000602092
44,536.975,0.73963,1.37108,1.34162,0.51791,0.44539,0.44976,0.3108,1.29743,1.77801,1.66722,0.000596595,0.000596595,0.000596595
45,550.85,0.77178,1.32619,1.3633,0.49836,0.4379,0.41634,0.28243,1.30854,1.84386,1.73918,0.000591097,0.000591097,0.000591097
46,564.287,0.77118,1.31005,1.3647,0.37133,0.53945,0.4438,0.31771,1.22763,1.7829,1.6883,0.000585599,0.000585599,0.000585599
47,577.347,0.75065,1.28218,1.33156,0.48769,0.40989,0.43061,0.29291,1.27417,1.94226,1.67055,0.000580101,0.000580101,0.000580101
48,590.482,0.74231,1.27559,1.32462,0.44002,0.50934,0.44058,0.30644,1.3074,1.91628,1.69586,0.000574603,0.000574603,0.000574603
49,603.663,0.74623,1.26262,1.33635,0.36901,0.49441,0.42122,0.28661,1.3496,1.82333,1.75263,0.000569106,0.000569106,0.000569106
50,618.373,0.71685,1.24712,1.32859,0.38225,0.48176,0.45041,0.3046,1.34771,1.95301,1.75138,0.000563608,0.000563608,0.000563608
51,632.58,0.7343,1.24085,1.31847,0.44559,0.50336,0.44574,0.30325,1.34446,2.00291,1.76984,0.00055811,0.00055811,0.00055811
52,646.87,0.7377,1.26245,1.32289,0.4254,0.51225,0.43946,0.29585,1.25192,1.87553,1.67064,0.000552612,0.000552612,0.000552612
53,660.983,0.71076,1.21494,1.31728,0.4047,0.50614,0.44173,0.30986,1.26786,1.82829,1.72236,0.000547114,0.000547114,0.000547114
54,674.928,0.74883,1.20717,1.33942,0.43163,0.54401,0.48804,0.32516,1.36896,1.75976,1.76357,0.000541617,0.000541617,0.000541617
55,688.073,0.68901,1.16979,1.30051,0.48977,0.55524,0.49964,0.34558,1.29757,1.76645,1.65853,0.000536119,0.000536119,0.000536119
56,703.092,0.71788,1.12544,1.31386,0.44153,0.57315,0.52395,0.37664,1.3664,1.7106,1.7346,0.000530621,0.000530621,0.000530621
57,716.977,0.75606,1.21582,1.33136,0.43423,0.5515,0.52314,0.3595,1.38622,1.76408,1.82264,0.000525123,0.000525123,0.000525123
58,730.774,0.7125,1.11977,1.30395,0.4704,0.50118,0.46698,0.35006,1.21323,1.75781,1.67312,0.000519625,0.000519625,0.000519625
59,744.713,0.7075,1.1346,1.30139,0.43818,0.49441,0.46809,0.33754,1.26158,1.83476,1.6562,0.000514128,0.000514128,0.000514128
60,758.577,0.69968,1.12248,1.30449,0.44532,0.55389,0.48485,0.35352,1.30755,1.73239,1.71328,0.00050863,0.00050863,0.00050863
61,772.267,0.68558,1.11131,1.2882,0.51294,0.52113,0.52934,0.38976,1.30175,1.68304,1.71805,0.000503132,0.000503132,0.000503132
62,786.393,0.67819,1.07242,1.28084,0.45609,0.54081,0.48427,0.35213,1.27445,1.73848,1.67591,0.000497634,0.000497634,0.000497634
63,800.501,0.72966,1.1048,1.30504,0.4044,0.59558,0.47228,0.34115,1.23201,1.71521,1.6488,0.000492136,0.000492136,0.000492136
64,814.231,0.70292,1.09644,1.29748,0.5153,0.55864,0.52248,0.36988,1.26557,1.71612,1.67921,0.000486639,0.000486639,0.000486639
65,827.676,0.7171,1.09704,1.29246,0.50079,0.5648,0.51754,0.37404,1.31349,1.77907,1.67405,0.000481141,0.000481141,0.000481141
66,840.744,0.68499,1.11396,1.27614,0.51209,0.55564,0.50381,0.36103,1.29694,1.73429,1.65229,0.000475643,0.000475643,0.000475643
67,854.605,0.66745,1.07712,1.26615,0.49775,0.46102,0.47695,0.33009,1.40577,1.9926,1.84021,0.000470145,0.000470145,0.000470145
68,869.189,0.67398,1.04791,1.2678,0.57734,0.51517,0.54476,0.37879,1.39063,1.79332,1.7753,0.000464647,0.000464647,0.000464647
69,883.296,0.66621,1.02122,1.26128,0.61073,0.42777,0.49477,0.36551,1.24918,1.83659,1.64705,0.00045915,0.00045915,0.00045915
70,897.464,0.66149,1.07257,1.26826,0.53085,0.53326,0.48618,0.33776,1.32308,1.93978,1.76454,0.000453652,0.000453652,0.000453652
71,911.102,0.70194,0.99721,1.27026,0.43227,0.51495,0.47955,0.34551,1.32203,1.91948,1.75212,0.000448154,0.000448154,0.000448154
72,924.971,0.68121,1.0161,1.27032,0.42308,0.56029,0.46757,0.34484,1.32933,1.77204,1.75454,0.000442656,0.000442656,0.000442656
73,938.742,0.66701,0.98903,1.26239,0.51205,0.55631,0.52285,0.37335,1.30724,1.61394,1.7039,0.000437158,0.000437158,0.000437158
74,951.994,0.62358,0.98609,1.23257,0.52796,0.50534,0.49769,0.3541,1.23864,1.70561,1.68341,0.000431661,0.000431661,0.000431661
75,964.873,0.65547,1.00306,1.25303,0.50486,0.56094,0.52664,0.38113,1.30225,1.62803,1.74086,0.000426163,0.000426163,0.000426163
76,978.417,0.64321,0.94499,1.24761,0.48757,0.5297,0.52565,0.38301,1.32263,1.79176,1.73963,0.000420665,0.000420665,0.000420665
77,991.828,0.63539,0.93807,1.2163,0.48108,0.55674,0.53045,0.38768,1.23272,1.75664,1.64442,0.000415167,0.000415167,0.000415167
78,1005.63,0.59485,0.92396,1.21168,0.57145,0.48246,0.50713,0.36306,1.32517,1.85391,1.70887,0.000409669,0.000409669,0.000409669
79,1019.59,0.65489,1.01159,1.25066,0.52497,0.58409,0.56543,0.39191,1.33966,1.54804,1.75055,0.000404172,0.000404172,0.000404172
80,1034.32,0.59579,0.87006,1.20701,0.56828,0.547,0.54329,0.38415,1.29535,1.7031,1.7282,0.000398674,0.000398674,0.000398674
81,1049.17,0.60667,0.90411,1.21066,0.51476,0.57799,0.53072,0.38042,1.28542,1.70576,1.7158,0.000393176,0.000393176,0.000393176
82,1063.89,0.60512,0.8685,1.20914,0.57544,0.53017,0.548,0.40573,1.2721,1.75381,1.67638,0.000387678,0.000387678,0.000387678
83,1078.76,0.63629,0.96201,1.23577,0.54773,0.57777,0.5712,0.40836,1.3659,1.61446,1.80927,0.00038218,0.00038218,0.00038218
84,1093.57,0.61275,0.90192,1.22636,0.58899,0.49974,0.56199,0.41307,1.35166,1.70838,1.79568,0.000376683,0.000376683,0.000376683
85,1108.21,0.65984,0.92677,1.24972,0.60568,0.51304,0.54854,0.39308,1.31805,1.71164,1.69764,0.000371185,0.000371185,0.000371185
86,1123.05,0.60123,0.87839,1.2044,0.57027,0.57629,0.5725,0.40695,1.31196,1.66396,1.7042,0.000365687,0.000365687,0.000365687
87,1138.42,0.61224,0.91055,1.2005,0.63333,0.44081,0.55699,0.40503,1.35165,1.6978,1.7802,0.000360189,0.000360189,0.000360189
88,1152.75,0.61058,0.86358,1.20694,0.61378,0.51074,0.56019,0.39747,1.33668,1.57517,1.78349,0.000354691,0.000354691,0.000354691
89,1166.6,0.60056,0.82609,1.19686,0.59754,0.55385,0.56729,0.41303,1.30992,1.58312,1.73559,0.000349194,0.000349194,0.000349194
90,1180.52,0.61667,0.88798,1.20717,0.51588,0.55111,0.54364,0.40606,1.27271,1.61603,1.74476,0.000343696,0.000343696,0.000343696
91,1194,0.63982,0.91146,1.26496,0.52987,0.59576,0.56935,0.41114,1.39195,1.63736,1.82454,0.000338198,0.000338198,0.000338198
92,1207.87,0.62105,0.84834,1.20955,0.52379,0.58117,0.56214,0.40775,1.38941,1.68026,1.80134,0.0003327,0.0003327,0.0003327
93,1221.2,0.57042,0.78063,1.17958,0.72996,0.46493,0.58766,0.41713,1.42154,1.59062,1.77873,0.000327202,0.000327202,0.000327202
94,1234.92,0.60206,0.82658,1.19467,0.63043,0.56931,0.6003,0.44909,1.34272,1.51986,1.71347,0.000321705,0.000321705,0.000321705
95,1248.94,0.58283,0.89093,1.18628,0.64101,0.55924,0.61811,0.44874,1.3044,1.47669,1.72961,0.000316207,0.000316207,0.000316207
96,1263.09,0.58335,0.78685,1.16556,0.68814,0.51082,0.57491,0.4251,1.33188,1.60106,1.71967,0.000310709,0.000310709,0.000310709
97,1277.66,0.59208,0.79526,1.18256,0.53463,0.50904,0.54936,0.40837,1.26321,1.70658,1.66309,0.000305211,0.000305211,0.000305211
98,1291.7,0.55403,0.76607,1.16416,0.50446,0.52636,0.50449,0.36963,1.33496,1.76256,1.7632,0.000299713,0.000299713,0.000299713
99,1305.66,0.55666,0.78962,1.16131,0.57187,0.60152,0.56631,0.40941,1.31673,1.63003,1.77195,0.000294216,0.000294216,0.000294216
100,1320.8,0.55731,0.77299,1.16881,0.55727,0.5776,0.56975,0.41049,1.36716,1.60162,1.85798,0.000288718,0.000288718,0.000288718
101,1339.01,0.54912,0.77528,1.16293,0.62613,0.56208,0.61696,0.44899,1.34198,1.52788,1.76765,0.00028322,0.00028322,0.00028322
102,1355.74,0.56587,0.76394,1.17267,0.61813,0.57868,0.59828,0.44821,1.32985,1.62087,1.76881,0.000277722,0.000277722,0.000277722
103,1370.13,0.58543,0.84534,1.19505,0.62389,0.49997,0.57078,0.42877,1.2862,1.63163,1.72764,0.000272224,0.000272224,0.000272224
